 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:07.026  SVG RIX 0.297 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:11.026  SVG RIX 0.254 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:11.026  FRA LIM 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:12.026  FRA LIM 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:12.026  FRA LIM 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:15.026  SVG RIX 0.312 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:23.026  SVG RIX 0.297 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:27.026  SVG RIX 0.391 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:35.026  SVG RIX 0.422 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:39.026  SVG RIX 0.407 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:43.026  SVG RIX 0.391 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:50.026  SVG RIX 0.315 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:55.026  SVG RIX 0.533 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:03.027  SVG RIX 0.390 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:08.027  SVG RIX 0.767 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:12.027  SVG RIX 0.725 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:14.027  CDG PVG 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:15.027  CDG PVG 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:15.027  CDG PVG 0.156 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:15.027  SVG RIX 0.578 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:19.027  SVG RIX 0.798 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:23.027  SVG RIX 0.687 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:29.027  SVG RIX 0.517 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:33.027  SVG RIX 0.688 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:37.027  SVG RIX 0.862 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:43.027  SVG RIX 0.767 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:46.027  SVG RIX 0.515 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:51.027  SVG RIX 0.846 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:27:59.027  SVG RIX 0.580 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:03.028  SVG RIX 0.578 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:08.028  SVG RIX 0.472 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:16.028  SVG RIX 0.469 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:20.028  SVG RIX 0.500 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:29.028  SVG RIX 0.455 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:33.028  SVG RIX 0.456 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:37.028  SVG RIX 0.787 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:45.028  SVG RIX 0.610 >
